Company Name,Social Links/LinkeIn,complaintsTotal,date,rating,reviewsTotal,totalClosedComplaintsPastThreeYears,totalClosedComplaintsPastTwelveMonths
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/24/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/18/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/16/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/15/21,5,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,6/12/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/19/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/17/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/13/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,5/11/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/30/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/28/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,4/27/21,1,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/25/21,5,254,1159,258
"Avant, LLC",https://www.linkedin.com/company/avant-us/,1159,3/23/21,3,254,1159,258
